파일명,주요 업무,자격요건,우대사항
job/DE/sources/jobkorea/txt/d9e22e10-a37f-46f4-afda-ed6a1e465f00.txt,"담당업무
1. 기술 요구 사항 요약, 프로젝트 수립, 시스템 설계, 코딩 구현, 현장 디버깅, 수용 및 로봇 비전을 포함한 기타 측면을 포함하여 머신 비전 시스템 애플리케이션 개발, 기술 솔루션 분석 및 자동화 시스템 장비의 구성을 담당합니다. 외모 비전, 캐릭터 비전, 크기 시각적 제어 등;
2. CCD 카메라, 광원, 렌즈 등과 같은 머신 비전 시스템의 하드웨어 선택, 평가 및 실험;
3. 팀의 머신 비전 애플리케이션 시스템의 아키텍처 설계 및 개발에 참여합니다.
4. 비전 시스템 디버깅 지원 및 문제 해결 지원
5. 운영자의 기술 교육 및 기술 이전을 담당

스킬
ㆍOpenCV, Halcon, Visionpr

핵심역량
ㆍ 창의성, 협동심, 성취지향성","자격요건
비전 엔지니어
( 1명 )","우대사항
ㆍ전공 : 전기.전자.컴퓨터공학전공, 비전학부, 광학공학과"
job/DE/sources/jobkorea/txt/da2e171b-2882-4201-9972-694138050dac.txt,담당업무,"자격요건
모집분야",
job/DE/sources/jobkorea/txt/da4c862d-8c3c-43a8-8586-34996279792d.txt,,"자격요건
직무 해당업무 지원자격 및","우대사항(참고사항) 채용희망인원
제품기획(웹)
자사 제품 및 경쟁사 제품 분석
S/W (웹, 데스크탑) UI/UX 기획
학력
대졸이상
성별
무관
나이
무관
경력여부
경력(2년 이상)
지원자격
경력 : 경력(2년이상)
웹 기술에 대한 전반적인 이해 및 관련 프로젝트에
대한 경험이 있는 분
우대사항(참고사항)
플랫폼 솔루션 개발에 참여 경험이 있는 분
O명
영상포렌식
제품 개발
비디오 포렌식 소프트웨어
(MD-VIDEO) 영상 개선 기능 개발
(C#, WPF 기반 제품 개발)
[경험 가능한 기술]
Ffmpeg / OpenCV / SOTA AI
기술을 이용한 동영상 분석
대용량/분산 데이터 처리
파일시스템 복원 및 카빙
저수순 시스템프로그래밍
학력
대졸이상
성별
무관
나이
무관
경력여부
신입/경력
지원자격
2년 이상의 OpenCV를 이용한 컴퓨터 비전
경험이 있는 분
우대사항(참고사항)
석사 이상의 학위를 보유한 분
WFP를 이용한 UI 개발 경험이 있는 분
Ffmpeg 개발 경험이 있는 분
O명
AI 엔지니어
학습 데이터 생성
AI 추론 엔진 개발
AI 모델 모듈화
학력
대졸이상
성별
무관
나이
무관
경력여부
신입
지원자격
컴퓨터 관련 학과 전공자
자료구조/알고리즘을 이해하고 있는 분
컴퓨터 그래픽스에 관심이 있는 분
우대사항(참고사항)
Unity/NVIDIA Omniverse 경험이 있는 분
C# 프로그래밍/객체지향 프로그래밍 경험이 있는 분
3D 렌더링/컴퓨터 그래픽스에 대한 이해도가
있는 분
유니티 워크플로우/후처리 효과를 생성/적용한
경험이 있는 분
O명
근무조건
근무형태 : 정규직 / 수습기간3개월 적용
근무시간 : 08:00 ~ 10:00 사이 자율출퇴근제(일 근무 8시간)
급여 : 협의 후 결정"
job/DE/sources/jobkorea/txt/da805914-c109-4502-a2d5-6f103a7f0997.txt,"[ 업무 안내 ]
1. 드론(조종) 데이터 촬영 보조 1명
- 지원 현황에 따라 조기 모집 종료될 수 있음
 [ 근무 장소 ] 
· 충청남도 논산시 양촌면 거사리 부근 
   · 상세 주소 `최종 선정자` 한하여 추후 자세히 안내
   · 촬영 시 출장지 이동 및 방문 예정 
 [ 근무 기간 ]
·  약 1년 5개월 (수습 기간 3개월)
   · 드론 데이터 촬영 보조: 11월부터 ~ 26년 3월까지
       · 상황에 따라 일정 변경 가능성 있음
      · 영업일 근무 (주말 및 공휴일 휴무)
      · 장기 계약(약 1년 5개월) 근무 가능인원 우대
       · 이후 1차례 3개월 후 평가 진행 업무 성과에 따라 중도 계약 해지 될 수 있음  
 [ 근무 시간 ]
·  월 ~ 금 (주 5일) 오전 9시 ~ 오후 6시 
   · 점심시간 1시간 제외
· 촬영횟수: 월 3회 출장 및 촬영 (약 월 8~10일 촬영 (2박 3일 또는 3박 4일 씩 진행 에정 및 야간 촬영 있을 수 있음) 
· 미촬영 시: 주 1~2회 출근, 나머지 기간은 재택 업무 진행 (촬영 테스트 및 기체 관리 위한 업체 방문 스케줄 포함)
· 지역: 국방대 근방 1시간 내외 출퇴근 가능 거리
 
[ 급여 조건 ] 
· 드론 데이터 촬영 보조: 월 240만원 (유류비 지원 / 출장 시 출장비 지원)
   · 세전, 4대보험 적용, 익월 10일 지급
   · 실업 급여 등 정부 지원금 수령 시 유관 기관에 문의 필수
   · 타사 4대보험 계약 중인 경우, 해당 기관에 이중 가입 가능 여부 문의 필수 

[ 필수(자격) 조건 ]
· 개인 차량 보유 및 운전이 가능하신 분
· 사업 특성에 따른 보안지역 출입을 위한 신원 조사에 문제가 없으신 분
    · 개인정보 보호를 위하여 아래의 서류를 공공신원조회 `사이트`에 직접 제출 필수
    · 필요서류: 신원진술서, 개인신용정보서,병역관계증명서 등
· 충청남도 논산시 양촌면 거사리 부근으로 출퇴근이 가능하신 분 (근처 거주자 우대)
· 프로젝트 전체 일정 동안 중도 이탈없이 성실하게 참여하실 분
드론(조종) 촬영 보조
( 1명 )
포지션 1. 드론(조종) 촬영 보조
[업무 내용]
· 드론을 통한 실물 객체 촬영 보조
· 드론 관련 행정처리(비행 및 공역신청) 및 안전진단
· 기타 촬영 데이터 분석 보조
· 촬영 범위는 매우 유동적이며, 전국 군부대 방문 및 촬영이 진행되는 작업일 수 있음
 [","자격요건
공통 근무 조건
( 1명 )","우대조건
· 드론 직접 사용하여 촬영해본 경력을 보유하신 분 (경력 없어도 지원 가능)
· 잦은 출장(운전) 및 야간촬영에 거부감이 없으신 분
· 근거리 거주자 우대
· 근무기간(1년 5개월) 동안 성실하게 근무 가능하신 분"
job/DE/sources/jobkorea/txt/daa71161-a54e-4219-aff1-45a79dc478ea.txt,"담당업무
1) 서비스 관제 업무( 24H X 365D , 교대근무)
2) 서비스/인프라 모니터링 및 이상징후/장애전파 감지 및 통보
3) 장애발생시 1차 대응(SOP수행) 및 기타 서비스 점검
4) 서비스 운영 관련 보고서 작성 등의 업무","자격요건








시스템 관제 모니터링(OP)
(신입/ 경력)","우대사항
1)이상상황 또는 비상상황을 빠르게 감지하고 대응할 수 있는 분
2)유관 업무 경력 있으신 분(1년 이상)
3) 컴퓨터/IT관련 학위 또는 그에 준하는 지식 및 자격증을 보유하신 분

특이사항
1)"
job/DE/sources/jobkorea/txt/daaf5ba6-1ae5-44b9-9539-0cba0dbe65ea.txt,"Key Responsibilities
ㆍIdentify data collection points for battery production lines and develop standardized templates to ensure consistency and 
    uniformity in data collection
ㆍResponsible for real-time data collection, preprocessing, and synchronous uploading of data from battery production 
     lines,  ensuring efficiency and stability in data transmission.
ㆍContinuously monitor and track the completeness and accuracy of data collection, promptly identify and resolve data 
    quality issues to ensure data reliability.
ㆍFamiliar with the infrastructure and processes of existing data lakehouse development. Assist line managers on data 
    analysis.","자격요건
Senior Data Engineer 
( 1명 )
Role Introduction
ㆍ SES is seeking a talented Senior Data Engineer to join our team. The successful candidate is committed and dedicated, 
     responsible, focused, detail-oriented, able to adjust in a fast-paced working environment, collaborate well with other staff 
     members with a shared vision and demonstrate excellent organizational communication skills.
     Please submit English & Korean version CV in our job post.","Benefits 
ㆍPerformance Bonuses & RSUs : Provided for regular employees
ㆍHousing Allowance or Mileage Support : Offered for employees residing outside the Chungju/Uiwang area
ㆍFlexible Working Hours : accordance to company policy
ㆍFull Salary during Probation : 100% of salary paid throughout the probation period
ㆍPaid Vacation : Provided in accordance with Korean labor laws (halfday/day)
ㆍSick & Bereavement Leave : Available per company policy
ㆍHoliday Gifts : Gift certificates for Lunar New Year and Thanksgiving
ㆍOn-Site Amenities : Pantry area, snacks, and lunch provided for on site employees, Wework space available for remote employees"
job/DE/sources/jobkorea/txt/dac5be7e-b6b9-4de4-b851-d3eeefe9c3a3.txt,,"자격요건
물류센터 설비 보전 전문가
직무소개
ㆍFC 자동화 장비 정비 및 일일 문제점 해결 위한 현장 관리책임자(부) 역할을 담당함
ㆍ자동화 장비와 Utility에 대한 유지보수/관리를 담당하며 자동화 장비 문제점의 솔루션을 제시함으로써 FC Center가 지향하는 목표치에 부응할 수 있도록 지원함

담당업무
ㆍ물류센터 자동화 설비 관리 (컨베이어, 오토소터, 물류 OSR)
ㆍ팀원 및 KPI 관리 (MTBF, MTTR)
ㆍ엔지니어 경력 개발 계획 수립 및 교육 

자격요건
ㆍ4년 이상의 기계/전기 제어 및 5인 이상 팀의 KPI 관리를 경험하신 분
ㆍ기계/전기 관련 기능사 이상의 자격증을 보유하신 분
ㆍ자동화 설비 개선 경험을 보유하신 분 
ㆍ주/야간 교대근무가 가능하신 분 

우대사항
ㆍPLC 로직/ Inverter Parameter 수정 또는 HMI 작화 및 수정이 가능하신 분
ㆍ기구부 국산화 이상의 개선 경험을 보유하신 분 
ㆍSpare Parts 관리 경험을 보유하신 분
ㆍ설비 Set-Up 경험을 보유하신 분 

근무지
ㆍ동탄1 센터: 경기도 화성시 동탄물류1로 13 쿠팡 동탄1센터


전형 절차
· 서류전형 - 전화면접 - 대면(화상)면접 ? 최종 합격
· 전형절차는 직무별로 다르게 운영될 수 있으며, 일정 및 상황에 따라 변동 될 수 있습니다.
· 전형 일정 및 결과는 지원서에 등록하신 이메일로 개별 안내 드립니다.
· 고용형태는 정규직으로 12주의 수습기간을 포함합니다.

유의사항
참고 사항
· 본 공고는 모집 완료 시 조기 마감될 수 있습니다.
· 지원서 내용 중 허위사실이 있는 경우에는 합격이 취소될 수 있습니다.
· 보훈대상자 및 장애인 여부는 채용 과정에서 어떠한 불이익도 미치지 않습니다.
· 직급과","우대사항
ㆍPLC 로직/ Inverter Parameter 수정 또는 HMI 작화 및 수정이 가능하신 분
ㆍ기구부 국산화 이상의 개선 경험을 보유하신 분 
ㆍSpare Parts 관리 경험을 보유하신 분
ㆍ설비 Set-Up 경험을 보유하신 분 

근무지
ㆍ동탄1 센터: 경기도 화성시 동탄물류1로 13 쿠팡 동탄1센터


전형 절차
· 서류전형 - 전화면접 - 대면(화상)면접 ? 최종 합격
· 전형절차는 직무별로 다르게 운영될 수 있으며, 일정 및 상황에 따라 변동 될 수 있습니다.
· 전형 일정 및 결과는 지원서에 등록하신 이메일로 개별 안내 드립니다.
· 고용형태는 정규직으로 12주의 수습기간을 포함합니다.

유의사항
참고 사항
· 본 공고는 모집 완료 시 조기 마감될 수 있습니다.
· 지원서 내용 중 허위사실이 있는 경우에는 합격이 취소될 수 있습니다.
· 보훈대상자 및 장애인 여부는 채용 과정에서 어떠한 불이익도 미치지 않습니다.
· 직급과"
job/DE/sources/jobkorea/txt/db6ab4b0-237a-4ad1-9965-093958a6747e.txt,"담당업무
ㆍ정보시스템 통합 유지관리 사업 서버 인프라 운영 업무
ㆍ정보시스템 소프트웨어 운영ㆍ유지관리 업무","자격요건
서버/시스템 소프트웨어 운영자
( ○명 )","우대사항
ㆍ소프트웨어 기술 경력증명서(KOSA증명서) 제출 가능한 분
ㆍIT관련 자격증 소유자
ㆍ고객과 원활한 커뮤니케이션 가능한 분
ㆍ즉시 출근 가능한 분 

근무조건
ㆍ근무형태: 계약직, 프리랜서
ㆍ근무일시: 월~금, 09:00~18:00
ㆍ"
job/DE/sources/jobkorea/txt/db7855a5-3230-43ab-bb75-83d2dcd96646.txt,"담당업무
ㆍPC/OA 유지보수

스킬
ㆍWindow, Excel","자격요건
PC/OA 엔지니어
( 1명 )","우대사항
ㆍ인근거주자
ㆍ관련 자격증 보유자
ㆍ즉시출근 가능자
ㆍ장기근무 가능자
ㆍDB운영가능자
ㆍ전공 : 컴퓨터공학과"
job/DE/sources/jobkorea/txt/db8904d3-98d6-479f-bdfb-8f5471477e63.txt,"이런 업무를 해요
ㆍ 이차전지 산업 취업 희망자 대상 교육 프로그램 강의 운영
ㆍ 이차전지 교육 프로그램 개선 및 사례 추가
ㆍ 이차전지 교육 프로그램 참가 지원자 모집 지원

모집 강의 주제 예시 (교안 및 교육 제공 / 일부만 강의 가능)
ㆍ이차전지 엔지니어링
ㆍ전기화학 및 에너지 변환
ㆍ이차전지 고분자 공학 및 배터리 소재 분석
ㆍBaaS 및 BMS 원리와 응용
ㆍ리튬이온 배터리 인증기준
ㆍ전기화학적 특성을 고려한 데이터 기반 배터리 설계","이런 분들을 찾고 있어요
ㆍ학력 : 대졸이상
ㆍ경력 : (이차전지) 경력 1년 이상
ㆍ기타 필수 사항

[급여 조건]
ㆍ정규직/계약직으로 채용 시 연봉 7천만원~1억원
(오전 9시~오후6시 강의, 월 20일 강의 기준/경력 기준 차등)
ㆍ지원자 경력과 강의 가능 여부에 따라서 월 160여 시간 이상 강의 시간 확보 가능","이런 분이면 더 좋아요
ㆍ화학공학, 전기/전자공학, 신소재/재료공학"
